feature_map,ansatz,rep_fm,rep_var,learning_rate,loss_func,accuracy,precision,recall,f1,duration
PauliFeatureMap,RealAmplitudes,2,3,0.01,squared_error,0.6203703703703703,0.4791666666666667,0.4393939393939394,0.4245614035087719,60.67627191543579
PauliFeatureMap,EfficientSU2,2,2,0.001,weightedcross_entropy,0.6203703703703703,0.4606518282988871,0.38888888888888884,0.40475870412689874,110.74358415603638
PauliFeatureMap,RealAmplitudes,1,2,0.001,squared_error,0.6203703703703703,0.4606518282988871,0.38888888888888884,0.40475870412689874,31.195173263549805
ZZFeatureMap,EfficientSU2,1,3,0.001,absolute_error,0.6111111111111112,0.5428571428571428,0.6363636363636364,0.48148148148148145,155.95378470420837
ZZFeatureMap,EfficientSU2,1,2,0.01,weightedcross_entropy,0.6111111111111112,0.49498327759197325,0.48484848484848486,0.4375,91.9244167804718
PauliFeatureMap,RealAmplitudes,1,2,0.01,cross_entropy,0.6111111111111112,0.49498327759197325,0.48484848484848486,0.4375,31.18397307395935
PauliFeatureMap,RealAmplitudes,2,2,0.001,weightedcross_entropy,0.6111111111111112,0.4777312523791397,0.43434343434343436,0.4199488491048593,40.83421063423157
PauliFeatureMap,RealAmplitudes,2,3,0.01,cross_entropy,0.6111111111111112,0.4777312523791397,0.43434343434343436,0.4199488491048593,61.09293174743652
PauliFeatureMap,EfficientSU2,2,2,0.001,squared_error,0.6111111111111112,0.4777312523791397,0.43434343434343436,0.4199488491048593,109.16072106361389
PauliFeatureMap,RealAmplitudes,1,2,0.01,squared_error,0.6111111111111112,0.4777312523791397,0.43434343434343436,0.4199488491048593,31.02237105369568
ZFeatureMap,RealAmplitudes,2,2,0.001,squared_error,0.6111111111111112,0.4594911937377691,0.38383838383838387,0.40063424947145876,29.6606285572052
ZZFeatureMap,RealAmplitudes,2,2,0.001,squared_error,0.6111111111111112,0.4594911937377691,0.38383838383838387,0.40063424947145876,40.560235261917114
ZZFeatureMap,EfficientSU2,1,3,0.001,cross_entropy,0.6018518518518519,0.5255681818181818,0.5808080808080809,0.46243778215071185,154.93104648590088
PauliFeatureMap,EfficientSU2,2,2,0.01,absolute_error,0.6018518518518519,0.5255681818181818,0.5808080808080809,0.46243778215071185,109.68367385864258
PauliFeatureMap,RealAmplitudes,1,2,0.001,weightedcross_entropy,0.6018518518518519,0.49338235294117644,0.4797979797979798,0.4324819748258585,31.257128953933716
ZZFeatureMap,EfficientSU2,2,3,0.001,weightedcross_entropy,0.6018518518518519,0.47631578947368425,0.4292929292929293,0.4153342565781191,183.58679127693176
ZFeatureMap,RealAmplitudes,2,2,0.001,absolute_error,0.6018518518518519,0.4583333333333333,0.3787878787878788,0.3964912280701754,29.735568046569824
PauliFeatureMap,EfficientSU2,2,3,0.001,absolute_error,0.6018518518518519,0.4583333333333333,0.3787878787878788,0.3964912280701754,181.7396855354309
ZZFeatureMap,RealAmplitudes,1,3,0.01,weightedcross_entropy,0.5925925925925926,0.5392396232996163,0.6262626262626263,0.46964285714285714,49.8715705871582
ZZFeatureMap,EfficientSU2,2,2,0.001,absolute_error,0.5925925925925926,0.5238095238095238,0.5757575757575757,0.45679012345679015,110.63824200630188
